Exam| RRB GROUP - D CBT - I
Shift|10/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|8.69

Q| Which novel by Nell Stevens exploring queerness in Victorian London was reviewed in June 2025? / ভিক্টোরিয়ান লন্ডনে সমকামিতা বা কুয়ারনেস অন্বেষণকারী নেল স্টিভেন্সের কোন উপন্যাসটি ২০২৫ সালের জুনে পর্যালোচনা করা হয়েছিল?
A| Dream Count / ড্রিম কাউন্ট (Dream Count)
B| The Original / দ্য অরিজিনাল (The Original)
C| The Emperor of Gladness / দ্য এম্পারার অফ গ্ল্যাডনেস (The Emperor of Gladness)
D| The Devil's Party / দ্য ডেভিলস পার্টি (The Devil's Party)
Shift|05/02/2026 4:30 PM - 6:00 PM
Correct|B
Difficulty|5.56

Q| In May 2025, the Reserve Bank of India (RBI) penalised the Union Bank of India and which of the following companies? / ২০২৫ সালের মে মাসে, ভারতীয় রিজার্ভ ব্যাংক (RBI) ইউনিয়ন ব্যাংক অফ ইন্ডিয়া এবং নিচের কোন কোম্পানিকে জরিমানা করেছে?
A| Razorpay / রেজারপে (Razorpay)
B| Broadridge Financial Solutions / ব্রডরিজ ফাইন্যান্সিয়াল সলিউশনস (Broadridge Financial Solutions)
C| Paytm / পেটিএম (Paytm)
D| Transactree Technologies / ট্রানজ্যাক্টরি টেকনোলজিস (Transactree Technologies)
Shift|09/02/2026 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.64

Q| According to the NITI Aayog press release (July 2025) on the second edition of the NER District SDG Index 2023 - 24, how many categories are districts classified into based on their SDG scores? / NER জেলা SDG সূচক ২০২৩ - ২৪ এর দ্বিতীয় সংস্করণের ওপর নীতি আয়োগের প্রেস রিলিজ (জুলাই ২০২৫) অনুসারে, জেলাগুলোকে তাদের এসডিজি স্কোরের ভিত্তিতে কীভাবে শ্রেণীবদ্ধ করা হয়েছে?
A| Achiever 100; Front Runner 70 - 99; Performer 55 - 69; Aspirant <55 / অ্যাচিভার ১০০; ফ্রন্ট রানার ৭০ - ৯৯; পারফর্মার ৫৫ - ৬৯; অ্যাসপির্যান্ট <৫৫
B| Achiever 95 - 100; Front Runner 60 - 94; Performer 45 - 59; Aspirant <45 / অ্যাচিভার ৯৫ - ১০০; ফ্রন্ট রানার ৬০ - ৯৪; পারফর্মার ৪৫ - ৫৯; অ্যাসপির্যান্ট <৪৫
C| Achiever 90 - 100; Front Runner 70 - 89; Performer 50 - 69; Aspirant <50 / অ্যাচিভার ৯০ - ১০০; ফ্রন্ট রানার ৭০ - ৮৯; পারফর্মার ৫০ - ৬৯; অ্যাসপির্যান্ট <৫০
D| Achiever 100; Front Runner 65 - 99; Performer 50 - 65; Aspirant <50 / অ্যাচিভার ১০০; ফ্রন্ট রানার ৬৫ - ৯৯; পারফর্মার ৫০ - ৬৫; অ্যাসপির্যান্ট <৫০
Shift|22/12/2025 4:30 PM - 6:00 PM
Correct|D
Difficulty|7.61

Q| As announced on June 17, 2025, which of the following institutes have developed a novel one - step colloidal synthesis method for fabricating PEGylated semi - shells (SS) with nano - cup morphology at room temperature to treat cancer? / ২০২৫ সালের ১৭ জুনের ঘোষণা অনুযায়ী, ক্যান্সার নিরাময়ের জন্য ঘরের তাপমাত্রায় ন্যানো - কাপ মরফোলজি সহ পিইজিলেটেড সেমি - শেল (SS) তৈরির জন্য কোন প্রতিষ্ঠান একটি অভিনব ওয়ান - স্টেপ কলয়েডাল সিন্থেসিস পদ্ধতি তৈরি করেছে?
A| Institute of Nano Science and Technology (INST), Raebareli / ইনস্টিটিউট অফ ন্যানো সায়েন্স অ্যান্ড টেকনোলজি রায়বেরেলি (Institute of Nano Science and Technology  -  INST, Raebareli)
B| Institute of Nano Science and Technology (INST), Mohali / ইনস্টিটিউট অফ ন্যানো সায়েন্স অ্যান্ড টেকনোলজি মোহালি (Institute of Nano Science and Technology  -  INST, Mohali)
C| Institute of Nano Science and Technology (INST), Dehradun / ইনস্টিটিউট অফ ন্যানো সায়েন্স অ্যান্ড টেকনোলজি দেরাদুন (Institute of Nano Science and Technology  -  INST, Dehradun)
D| Institute of Nano Science and Technology (INST), Chandigarh / ইনস্টিটিউট অফ ন্যানো সায়েন্স অ্যান্ড টেকনোলজি চণ্ডীগড় (Institute of Nano Science and Technology  -  INST, Chandigarh)
Shift|28/11/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|9.16

Q| Which category of climate finance did India argue should be scaled up independently during the post - COP - 30 negotiations held in November 2025? / ২০২৫ সালের নভেম্বরে অনুষ্ঠিত পোস্ট - COP - 30 আলোচনায় ভারত জলবায়ু অর্থায়নের কোন বিভাগটি স্বাধীনভাবে বৃদ্ধি করার পক্ষে যুক্তি দিয়েছিল?
A| Adaptation finance / অ্যাডাপ্টেশন ফাইন্যান্স (Adaptation finance)
B| Carbon market finance / কার্বন মার্কেট ফাইন্যান্স (Carbon market finance)
C| Loss and damage finance / লস অ্যান্ড ড্যামেজ ফাইন্যান্স (Loss and damage finance)
D| Green hydrogen finance / গ্রিন হাইড্রোজেন ফাইন্যান্স (Green hydrogen finance)
Shift|10/02/2026 9:00 AM - 10:30 AM
Correct|A
Difficulty|7.91

Q| The city of Awaza, the venue of the Third UN Conference on Landlocked Developing Countries (2025), is located in which nation? / ল্যান্ডলকড ডেভেলপিং কান্ট্রিজ (2025) - এর তৃতীয় জাতিসংঘ সম্মেলনের ভেন্যু 'আওয়াজা' (Awaza) শহরটি কোন দেশে অবস্থিত?
A| Uzbekistan / উজবেকিস্তান (Uzbekistan)
B| Turkmenistan / তুর্কমেনিস্তান (Turkmenistan)
C| Kazakhstan / কাজাখস্তান (Kazakhstan)
D| Kyrgyz Republic / কিরগিজ প্রজাতন্ত্র (Kyrgyz Republic)
Shift|11/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|5.25

Q| Which of the following cities hosted the G20 Digital Economy Working Groups' second meeting in South Africa in 2025? / ২০২৫ সালে দক্ষিণ আফ্রিকায় G20 ডিজিটাল ইকোনমি ওয়ার্কিং গ্রুপের দ্বিতীয় বৈঠক নিচের কোন শহরে অনুষ্ঠিত হয়েছিল?
A| Eastern Cape / ইস্টার্ন কেপ (Eastern Cape)
B| Cape Town / কেপ টাউন (Cape Town)
C| Pretoria / প্রিটোরিয়া (Pre Pretoria)
D| Durban / ডারবান (Durban)
Shift|11/12/2025 12:45 PM - 2:15 PM
Correct|A
Difficulty|9.42

Q| Who among the following is the head of the 7 - member committee set up by the Insurance Regulatory and Development Authority of India (IRDAI) in February 2025 to examine and suggest amendments to the Insurance Act, 1938? / ১৯৩৮ সালের বীমা আইন পরীক্ষা করার এবং সংশোধনের পরামর্শ দেওয়ার জন্য ২০২৫ সালের ফেব্রুয়ারিতে ইন্স্যুরেন্স রেগুলেটরি অ্যান্ড ডেভেলপমেন্ট অথরিটি অফ ইন্ডিয়া (IRDAI) দ্বারা গঠিত ৭ সদস্যের কমিটির প্রধান কে?
A| Dinesh Khara / দিনেশ খারা (Dinesh Khara)
B| Ajay Tyagi / অজয় ত্যাগী (Ajay Tyagi)
C| Swaminathan Janakiraman / স্বামীনাথন জানকিরামন (Swaminathan Janakiraman)
D| TS Vijayan / টি এস বিজয়ন (TS Vijayan)
Shift|24/12/2025 12:45 PM - 2:15 PM
Correct|A
Difficulty|9.33

Q| The Van Dhan Vikas Kendra at Dugong Creek aims to make the Onge tribe self - sustainable through which of the following? / ডুগং ক্রিকের বন ধন বিকাশ কেন্দ্রের উদ্দেশ্য নিচের কোনটির মাধ্যমে ওনজে (Onge) উপজাতিকে স্বাবলম্বী করে তোলা?
A| Bamboo handicrafts / বাঁশের হস্তশিল্প (Bamboo handicrafts)
B| Herbal medicine production / ভেষজ ওষুধ উৎপাদন (Herbal medicine production)
C| Coconut - based products / নারকেল - ভিত্তিক পণ্য (Coconut - based products)
D| Honey and wild forest produce / মধু এবং বন্য বনজ পণ্য (Honey and wild forest produce)
Shift|10/02/2026 9:00 AM - 10:30 AM
Correct|C
Difficulty|9.75

Q| In 2025, which organisation reintroduced the SPREE initiative and launched the Amnesty Scheme 2025 to expand social security coverage for workers? / ২০২৫ সালে, কোন সংস্থা শ্রমিকদের সামাজিক নিরাপত্তা কভারেজ প্রসারিত করার জন্য SPREE উদ্যোগটি পুনরায় চালু করেছে এবং অ্যামনেস্টি স্কিম ২০২৫ চালু করেছে?
A| NITI Aayog / নীতি আয়োগ (NITI Aayog)
B| Ministry of Labour and Employment / শ্রম ও কর্মসংস্থান মন্ত্রক (Ministry of Labour and Employment)
C| Employees' State Insurance Corporation / এমপ্লয়িজ স্টেট ইন্স্যুরেন্স কর্পোরেশন (Employees' State Insurance Corporation)
D| Employees Provident Fund Organisation / এমপ্লয়িজ প্রভিডেন্ট ফান্ড অর্গানাইজেশন (Employees Provident Fund Organisation)
Shift|23/12/2025 12:45 PM - 2:15 PM
Correct|C
Difficulty|5.46

Q| In which of the following cities was the regional meeting with Waqf Boards held in October 2025? / ২০২৫ সালের অক্টোবরে ওয়াকফ বোর্ডগুলোর সাথে আঞ্চলিক সভা নিচের কোন শহরে অনুষ্ঠিত হয়েছিল?
A| Mumbai / মুম্বাই (Mumbai)
B| Bengaluru / বেঙ্গালুরু (Bengaluru)
C| Hyderabad / হায়দরাবাদ (Hyderabad)
D| Delhi / দিল্লি (Delhi)
Shift|26/12/2025 9:00 AM - 10:30 AM
Correct|B
Difficulty|6.54

Q| Who scored the winning goal for Sunderland in the 2025 EFL Championship playoff final? / ২০২৫ সালের ইএফএল চ্যাম্পিয়নশিপ প্লে - অফ ফাইনালে সান্ডারল্যান্ডের হয়ে জয়সূচক গোলটি কে করেছিলেন?
A| Eliezer Mayenda / এলিজার মায়েন্দা (Eliezer Mayenda)
B| Tom Watson / টম ওয়াটসন (Tom Watson)
C| Jack Clarke / জ্যাক ক্লার্ক (Jack Clarke)
D| Dan Neil / ড্যান নিল (Dan Neil)
Shift|27/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|6.98

Q| Under what theme is the 'Swachhata Hi Seva' campaign, in alignment with the Government of India's vision of a clean and garbage - free India, being observed in 2025? / ভারত সরকারের পরিচ্ছন্ন ও আবর্জনামুক্ত ভারতের ভিশনের সাথে মিল রেখে ২০২৫ সালে কোন থিমের অধীনে 'স্বচ্ছতা হি সেবা' অভিযান পালিত হচ্ছে?
A| Clean India Green India / ক্লিন ইন্ডিয়া গ্রিন ইন্ডিয়া (Clean India Green India)
B| Swachhata Abhiyan 2.0 / স্বচ্ছতা অভিযান ২.০ (Swachhata Abhiyan 2.0)
C| Swachhotsav / স্বাচ্ছোৎসব (Swachhotsav)
D| Swachh Survekshan / স্বচ্ছ সর্বেক্ষণ (Swachh Survekshan)
Shift|05/02/2026 12:45 PM - 2:15 PM
Correct|C
Difficulty|5.44

Q| As per the Sustainable Development Goals National Indicator Framework Progress Report, 2025, published in June 2025, what was the percentage of the total waste processed during the year 2024 - 2025, indicating progress in waste management efficiency? / জুন ২০২৫ সালে প্রকাশিত টেকসই উন্নয়ন লক্ষ্যমাত্রা জাতীয় সূচক কাঠামো অগ্রগতি প্রতিবেদন, ২০২৫ অনুসারে, বর্জ্য ব্যবস্থাপনা দক্ষতার অগ্রগতি নির্দেশ করে ২০২৪ - ২০২৫ সালের মধ্যে মোট প্রক্রিয়াজাত বর্জ্যের শতাংশ কত ছিল?
A| 97.80% / ৯৭.৮০%
B| 90.25% / ৯০.2৫%
C| 80.7% / ৮০.৭%
D| 75.6% / ৭৫.৬%
Shift|23/12/2025 9:00 AM - 10:30 AM
Correct|C
Difficulty|5.52

Q| Indian boxer Nishant Dev secured his second professional win against which opponent in a Super Welterweight bout at Madison Square Garden Theatre, New York in June 2025? / ভারতীয় বক্সার নিশান্ত দেব ২০২৫ সালের জুনে নিউ ইয়র্কের ম্যাডিসন স্কয়ার গার্ডেন থিয়েটারে একটি সুপার ওয়েল্টারওয়েট বাউটে কোন প্রতিপক্ষের বিরুদ্ধে তার দ্বিতীয় পেশাদার জয় নিশ্চিত করেছেন?
A| Victor Ortiz / ভিক্টর ওর্টিজ (Victor Ortiz)
B| Miguel Flores / মিগুয়েল ফ্লোরেস (Miguel Flores)
C| Eduardo Ramirez / এদুয়ার্দো রামিরেজ (Eduardo Ramirez)
D| Josue Silva / জোসুয়ে সিলভা (Josue Silva)
Shift|15/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|6.98

Q| Where in Andhra Pradesh was the Rajiv Sports Complex, developed by Greater Visakhapatnam Municipal Corporation (GVMC), inaugurated in June 2025? / অন্ধ্রপ্রদেশের কোথায় গ্রেটার বিশাখাপত্তনম মিউনিসিপ্যাল কর্পোরেশন (GVMC) দ্বারা তৈরি রাজীব স্পোর্টস কমপ্লেক্সটি ২০২৫ সালের জুনে উদ্বোধন করা হয়েছিল?
A| Kollam / কোল্লাম (Kollam)
B| Gajuwaka / গাজুওয়াকা (Gajuwaka)
C| Uttam Nagar / উত্তম নগর (Uttam Nagar)
D| Dwaraka Nagar / দ্বারকা নগর (Dwaraka Nagar)
Shift|08/01/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|5.70

Q| Which Indian naval asset participated in the defense exercise La Pérouse 2025? / কোন ভারতীয় নৌ সম্পদ লা পেরুস ২০২৫ (La Pérouse 2025) প্রতিরক্ষা অনুশীলনে অংশ নিয়েছিল?
A| INS Mumbai / আইএনএস মুম্বাই (INS Mumbai)
B| INS Satpura / আইএনএস সাতপুরা (INS Satpura)
C| INS Arihant / আইএনএস অরিহন্ত (INS Arihant)
D| INS Vikrant / আইএনএস বিক্রান্ত (INS Vikrant)
Shift|09/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|9.17

Q| What is the revised policy repo rate announced by the Reserve Bank of India in April 2025? / ২০২৫ সালের এপ্রিলে ভারতীয় রিজার্ভ ব্যাংক কর্তৃক ঘোষিত সংশোধিত পলিসি রেপো রেট কত?
A| 6.25% / ৬.২৫%
B| 6.00% / ৬.০০%
C| 5.75% / ৫.৭৫%
D| 6.50% / ৬.৫০%
Shift|28/11/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|6.01

Q| Where and when were the 2025 Juno Awards hosted? / ২০২৫ সালের জুনো পুরস্কার (Juno Awards) কোথায় এবং কখন অনুষ্ঠিত হয়েছিল?
A| Ottawa, March 25 / অটোয়া, ২৫ মার্চ (Ottawa, March 25)
B| Toronto, April 15 / টরন্টো, ১৫ এপ্রিল (Toronto, April 15)
C| Vancouver, March 30 / ভ্যাঙ্কুভার, ৩০ মার্চ (Vancouver, March 30)
D| Montreal, May 5 / মন্ট্রিল, ৫ মে (Montreal, May 5)
Shift|30/12/2025 4:30 PM - 6:00 PM
Correct|C
Difficulty|5.22

Q| Which author's work 'Paradise Inc.' critiques Western conservation models in Africa through memoir and photojournalism? / কোন লেখকের কাজ 'প্যারাডাইস ইনকর্পোরেটেড' (Paradise Inc.) স্মৃতিকথা এবং ফটোসাংবাদিকতার মাধ্যমে আফ্রিকায় পশ্চিমা সংরক্ষণ মডেলের সমালোচনা করে?
A| Nell Stevens / নেল স্টিভেন্স (Nell Stevens)
B| Banu Mushtaq / বানু মুশতাক (Banu Mushtaq)
C| Colum McCann / ক্যালাম ম্যাকক্যান (Colum McCann)
D| Guillaume Bonn / গুইলোম বন (Guillaume Bonn)
Shift|21/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.46

Q| Which of the following National Parks received rupees ₹1.5 crore in June 2025 for the establishment of two new Rhino Rehabilitation Areas? / নিচের কোন জাতীয় উদ্যানটি দুটি নতুন গণ্ডার পুনর্বাসন এলাকা প্রতিষ্ঠার জন্য ২০২৫ সালের জুনে দেড় কোটি টাকা পেয়েছে?
A| Kaziranga National Park / কাজিরাঙ্গা জাতীয় উদ্যান (Kaziranga National Park)
B| Dudhwa National Park / দুধওয়া জাতীয় উদ্যান (Dudhwa National Park)
C| Jim Corbett National Park / জিম করবেট জাতীয় উদ্যান (Jim Corbett National Park)
D| Sundarbans National Park / সুন্দরবন জাতীয় উদ্যান (Sundarbans National Park)
Shift|10/02/2026 9:00 AM - 10:30 AM
Correct|B
Difficulty|8.82

Q| What is the name of the portal launched by the Government of India to support gender - responsive planning and budgeting? / জেন্ডার - রেসপন্সিভ পরিকল্পনা ও বাজেটকে সহায়তা করার জন্য ভারত সরকার কর্তৃক চালু করা পোর্টালের নাম কী?
A| Gender Budgeting Knowledge Hub / জেন্ডার বাজেটিং নলেজ হাব (Gender Budgeting Knowledge Hub)
B| Women's Finance Portal / উইমেনস ফাইন্যান্স পোর্টাল (Women's Finance Portal)
C| Gender Equality Resource Hub / জেন্ডার ইকুয়ালিটি রিসোর্স হাব (Gender Equality Resource Hub)
D| Gender Planning & Budget Portal / জেন্ডার প্ল্যানিং অ্যান্ড বাজেট পোর্টাল (Gender Planning & Budget Portal)
Shift|21/12/2025 4:30 PM - 6:00 PM
Correct|A
Difficulty|5.45

Q| Which prodigious ice - hockey talent was awarded the EJ McGuire Award of Excellence, highlighting character and athleticism, ahead of the 2025 NHL Draft? / ২০২৫ সালের এনএইচএল ড্রাফটের আগে চরিত্র এবং অ্যাথলেটিসিজম প্রদর্শন করার জন্য কোন প্রতিভাবান আইস - হকি তারকাকে ইজে ম্যাকগুয়ার অ্যাওয়ার্ড অফ এক্সেলেন্স দেওয়া হয়েছিল?
A| Michael Misa / মাইকেল মিসা (Michael Misa)
B| Ivan Miroshnichenko / ইভান মিরোশনিচেঙ্কো (Ivan Miroshnichenko)
C| Connor Bedard / কনর বেডার্ড (Connor Bedard)
D| Matvei Michkov / মাটভেই মিচকভ (Matvei Michkov)
Shift|05/02/2026 9:00 AM - 10:30 AM
Correct|A
Difficulty|8.36

Q| What is the new Loan - to - Value (LTV) ratio, set by the Reserve Bank of India for loans below ₹2.5 lakh in June 2025? / ২০২৫ সালের জুনে ₹২.৫ লাখের কম ঋণের জন্য ভারতীয় রিজার্ভ ব্যাংক কর্তৃক নির্ধারিত নতুন লোন - টু - ভ্যালু (LTV) অনুপাত কত?
A| 85% / ৮৫%
B| 80% / ৮০%
C| 70% / ৭০%
D| 75% / ৭৫%
Shift|10/12/2025 9:00 AM - 10:30 AM
Correct|A
Difficulty|9.95

Q| Who was voted the 2024 NBA Finals most valuable player (FMVP)? / ২০২৪ সালের এনবিএ ফাইনালসের মোস্ট ভ্যালুয়েবল প্লেয়ার (FMVP) কে নির্বাচিত হয়েছিলেন?
A| Jaylen Brown / জ্যালেন ব্রাউন (Jaylen Brown)
B| Jayson Tatum / জেসন ট্যাটাম (Jayson Tatum)
C| Malachi Flynn / মালাচি ফ্লিন (Malachi Flynn)
D| Immanuel Jaylen Quickley / ইমানুয়েল জ্যালেন কুইকলি (Immanuel Jaylen Quickley)
Shift|10/02/2026 9:00 AM - 10:30 AM
Correct|A
Difficulty|8.39

Q| Which of the following DRDO - executed schemes under the 'Make in India' initiative provides grants - in - aid to Indian industries (MSMEs/start - ups) for developing defence and dual - use technologies? / 'মেক ইন ভারত' উদ্যোগের অধীনে ডিআরডিও দ্বারা পরিচালিত নিচের কোন স্কিমটি প্রতিরক্ষা এবং দ্বৈত - ব্যবহারের প্রযুক্তি তৈরির জন্য ভারতীয় শিল্পকে (MSME/স্টার্টআপ) অনুদান প্রদান করে?
A| Aatmanirbhar Defence Innovation & Technology Initiative (ADITI) / আত্মনির্ভর ডিফেন্স ইনোভেশন অ্যান্ড টেকনোলজি ইনিশিয়েটিভ (Aatmanirbhar Defence Innovation & Technology Initiative  -  ADITI)
B| Technology Development Fund (TDF) / টেকনোলজি ডেভেলপমেন্ট ফান্ড (Technology Development Fund  -  TDF)
C| Defence Testing Infrastructure Scheme (DTIS) / ডিফেন্স টেস্টিং ইনফ্রাস্ট্রাকচার স্কিম (Defence Testing Infrastructure Scheme  -  DTIS)
D| Innovations for Defence Excellence (iDEX) / ইনোভেশনস ফর ডিফেন্স এক্সেলেন্স (Innovations for Defence Excellence  -  iDEX)
Shift|23/12/2025 4:30 PM - 6:00 PM
Correct|B
Difficulty|5.15

Q| Who was appointed as the youngest US Ryder Cup captain since 1963? / ১৯৬৩ সালের পর থেকে কে সবচেয়ে কম বয়সী মার্কিন রাইডার কাপের অধিনায়ক হিসেবে নিযুক্ত হয়েছেন?
A| Phil Mickelson / ফিল মিকেলসন (Phil Mickelson)
B| Dustin Johnson / ডাস্টিন জনসন (Dustin Johnson)
C| Tiger Woods / টাইগার উডস (Tiger Woods)
D| Keegan Bradley / কিগান ব্র্যাডলি (Keegan Bradley)
Shift|29/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|9.79

Q| As notified in April 2025, how many new species of Sericinae scarab beetles from the biodiversity - rich regions of India were discovered by Zoological Survey of India in collaboration with Germany's Museum A. Koenig? / ২০২৫ সালের এপ্রিলের বিজ্ঞপ্তি অনুসারে, ভারতের জীববৈচিত্র্য সমৃদ্ধ অঞ্চল থেকে সেরিসিনা স্কারাব বিটলের কতটি নতুন প্রজাতি ভারতীয় প্রাণীবিজ্ঞান জরিপ (ZSI) জার্মানির মিউজিয়াম এ. কোয়েনিগ - এর সাথে যৌথভাবে আবিষ্কার করেছে?
A| 4 / ৪
B| 5 / ৫
C| 7 / ৭
D| 6 / ৬
Shift|04/12/2025 9:00 AM - 10:30 AM
Correct|D
Difficulty|8.42

