Exam| RRB GROUP-D CBT-I
B| Environmental Restoration and Management (Pollution Control) Rules, 2025 / এনভায়রনমেন্টাল রিস্টোরেশন অ্যান্ড ম্যানেজমেন্ট (পল্যুশন কন্ট্রোল) রুলস, ২০২৫ [Environmental Restoration and Management (Pollution Control) Rules, 2025]
C| Hazardous Waste and Remediation Management Rules, 2025 / হ্যাজার্ডাস ওয়েস্ট অ্যান্ড রেমিডিয়েশন ম্যানেজমেন্ট রুলস, ২০২৫ (Hazardous Waste and Remediation Management Rules, 2025)
D| Environment Protection (Management of Contaminated Sites) Rules, 2025 / এনভায়রনমেন্ট প্রটেকশন (ম্যানেজমেন্ট অফ কন্ট্যামিনেটেড সাইটস) রুলস, ২০২৫ [Environment Protection (Management of Contaminated Sites) Rules, 2025]
Shift| 17/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.15
Topic| 
SubTopic| 
QuestionID| GACA-000968

QEN| Which two co-operative banks merged as per Reserve Bank of India's January 2025 notification?
QBN| ভারতীয় রিজার্ভ ব্যাংকের জানুয়ারি ২০২৫ সালের বিজ্ঞপ্তি অনুযায়ী কোন দুটি সমবায় ব্যাংক একীভূত হয়েছে?
Common| 
Image| 
A| National Co-operative Bank and Cosmos Co-operative Bank / ন্যাশনাল কো-অপারেটিভ ব্যাংক এবং কসমস কো-অপারেটিভ ব্যাংক (National Co-operative Bank and Cosmos Co-operative Bank)
B| PMC Co-operative Bank and Cosmos Co-operative Bank / পিএমসি কো-অপারেটিভ ব্যাংক এবং কসমস কো-অপারেটিভ ব্যাংক (PMC Co-operative Bank and Cosmos Co-operative Bank)
C| Maratha Sahakari Bank and Janata Co-operative Bank / মারাঠা সমবায় ব্যাংক এবং জনতা কো-অপারেটিভ ব্যাংক (Maratha Sahakari Bank and Janata Co-operative Bank)
D| Saraswat Co-operative Bank and Cosmos Co-operative Bank / সারস্বত কো-অপারেটিভ ব্যাংক এবং কসমস কো-অপারেটিভ ব্যাংক (Saraswat Co-operative Bank and Cosmos Co-operative Bank)
Shift| 03/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 6.43
Topic| 
SubTopic| 
QuestionID| GACA-000969

QEN| Approximately how many hectares are targeted for increased forest and tree cover by 2030 as per the Revised Green India Mission (GIM) Plan released in 2025?
QBN| ২০২৫ সালে প্রকাশিত সংশোধিত গ্রিন ইন্ডিয়া মিশন (GIM) প্ল্যান অনুযায়ী ২০৩০ সালের মধ্যে আনুমানিক কত হেক্টর জমিতে বন ও বৃক্ষ আচ্ছাদন বাড়ানোর লক্ষ্য রাখা হয়েছে?
Common| 
Image| 
A| 20 million / ২০ মিলিয়ন
B| 10 million / ১০ মিলিয়ন
C| 15.5 million / ১৫.৫ মিলিয়ন
D| 24.7 million / ২৪.৭ মিলিয়ন
Shift| 01/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 6.21
Topic| 
SubTopic| 
QuestionID| GACA-000970

QEN| As per the Reserve Bank of India (RBI) guidelines, in the event of a name change by a bank (as happened with North East Small Finance Bank Limited in May 2025), existing cheque books and IFSC codes will ______.
QBN| ভারতীয় রিজার্ভ ব্যাংকের (RBI) নির্দেশিকা অনুসারে, ব্যাংকের নাম পরিবর্তনের ক্ষেত্রে (যেমন ২০২৫ সালের মে মাসে নর্থ ইস্ট স্মল ফাইন্যান্স ব্যাংক লিমিটেডের ক্ষেত্রে ঘটেছিল), বিদ্যমান চেক বই এবং আইএফএসসি (IFSC) কোডগুলির ক্ষেত্রে কী ঘটবে?
Common| 
Image| 
A| require re-issuance / পুনরায় ইস্যু করা প্রয়োজন হবে (require re-issuance)
B| become invalid / অবৈধ হয়ে যাবে (become invalid)
C| be temporarily suspended / সাময়িকভাবে স্থগিত থাকবে (be temporarily suspended)
D| remain valid / বৈধ থাকবে (remain valid)
Shift| 26/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 5.96
Topic| 
SubTopic| 
QuestionID| GACA-000971

QEN| How much accident compensation was announced by Indian railways in June 2025 for its employees without paying any insurance premium?
QBN| জুন ২০২৫-এ ভারতীয় রেলওয়ে তার কর্মচারীদের কোনো বীমা প্রিমিয়াম না দিয়েই কত টাকার দুর্ঘটনা ক্ষতিপূরণ ঘোষণা করেছে?
Common| 
Image| 
A| ₹25 lakh / ₹২৫ লাখ
B| ₹50 lakh / ₹৫০ লাখ
C| ₹1 crore / ₹১ কোটি
D| ₹1.5 crore / ₹১.৫ কোটি
Shift| 10/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 9.24
Topic| 
SubTopic| 
QuestionID| GACA-000972

QEN| Which of the following initiatives was launched by the Union Ministry of Tribal Affairs in 2025 to improve the implementation of tribal welfare schemes?
QBN| উপজাতি কল্যাণ প্রকল্পগুলির বাস্তবায়ন উন্নত করতে ২০২৫ সালে কেন্দ্রীয় উপজাতি বিষয়ক মন্ত্রক দ্বারা নিচের কোন উদ্যোগটি চালু করা হয়েছিল?
Common| 
Image| 
A| Tribal Pragati Mission / উপজাতি প্রগতি মিশন (Tribal Pragati Mission)
B| Janjatiya Jyoti Abhiyan / জনজাতীয় জ্যোতি অভিযান (Janjatiya Jyoti Abhiyan)
C| Adi Karmyogi / আদি কর্মযোগী (Adi Karmyogi)
D| Van Dhan 2.0 / বন ধন ২.০ (Van Dhan 2.0)
Shift| 29/12/2025 12:45 PM - 2:15 PM
Correct| C
Difficulty| 8.94
Topic| 
SubTopic| 
QuestionID| GACA-000973

QEN| Where was the Combined Operational Review and Evaluation (CORE) Programme organised by the Headquarters Integrated Defence Staff (HQ IDS) from 22 to 26 September 2025?
QBN| ২২ থেকে ২৬ সেপ্টেম্বর ২০২৫ পর্যন্ত হেডকোয়ার্টার্স ইন্টিগ্রেটেড ডিফেন্স স্টাফ (HQ IDS) দ্বারা কম্বাইন্ড অপারেশনাল রিভিউ অ্যান্ড ইভালুয়েশন (CORE) প্রোগ্রাম কোথায় আয়োজিত হয়েছিল?
Common| 
Image| 
A| Defence Services Staff College, Wellington, Tamil Nadu / ডিফেন্স সার্ভিসেস স্টাফ কলেজ, ওয়েলিংটন, তামিলনাড়ু (Defence Services Staff College, Wellington, Tamil Nadu)
B| Indian Military Academy, Dehradun, Uttarakhand / ইন্ডিয়ান মিলিটারি একাডেমি, দেরাদুন, উত্তরাখণ্ড (Indian Military Academy, Dehradun, Uttarakhand)
C| National Defence Academy, Pune / ন্যাশনাল ডিফেন্স একাডেমি, পুনে (National Defence Academy, Pune)
D| United Service Institution of India, New Delhi / ইউনাইটেড সার্ভিস ইনস্টিটিউশন অফ ইন্ডিয়া, নতুন দিল্লি (United Service Institution of India, New Delhi)
Shift| 27/12/2025 12:45 PM - 2:15 PM
Correct| A
Difficulty| 6.42
Topic| 
SubTopic| 
QuestionID| GACA-000974

QEN| Which of the following was the focus of the National Workshop held at Gujarat University, organised by the Ministry of Minority Affairs in July 2025?
QBN| ২০২৫ সালের জুলাই মাসে সংখ্যালঘু বিষয়ক মন্ত্রক দ্বারা আয়োজিত গুজরাট বিশ্ববিদ্যালয়ে অনুষ্ঠিত জাতীয় কর্মশালার মূল বিষয়বস্তু কোনটি ছিল?
Common| 
Image| 
A| Jainism / জৈনধর্ম (Jainism)
B| Buddhism / বৌদ্ধধর্ম (Buddhism)
C| Hinduism / হিন্দুধর্ম (Hinduism)
D| Sikhism / শিখধর্ম (Sikhism)
Shift| 16/12/2025 4:30 PM - 6:00 PM
Correct| D
Difficulty| 7.95
Topic| 
SubTopic| 
QuestionID| GACA-000975

QEN| In June 2025, which Indian state launched a state-level Clean Air Plan based on airshed scientific analysis?
QBN| ২০২৫ সালের জুনে, কোন ভারতীয় রাজ্য এয়ারশেড বৈজ্ঞানিক বিশ্লেষণের ভিত্তিতে রাজ্য স্তরের পরিচ্ছন্ন বায়ু পরিকল্পনা (Clean Air Plan) চালু করেছিল?
Common| 
Image| 
A| Bihar / বিহার (Bihar)
B| Uttar Pradesh / উত্তরপ্রদেশ (Uttar Pradesh)
C| Rajasthan / রাজস্থান (Rajasthan)
D| Assam / আসাম (Assam)
Shift| 09/01/2026 12:45 PM - 2:15 PM
Correct| D
Difficulty| 6.79
Topic| 
SubTopic| 
QuestionID| GACA-000976

QEN| In the 2025 Ludhiana West by-election, which party emerged victorious?
QBN| ২০২৫ সালের লুধিয়ানা পশ্চিম উপ-নির্বাচনে কোন দল বিজয়ী হয়েছে?
Common| 
Image| 
A| Indian National Congress / ইন্ডিয়ান ন্যাশনাল কংগ্রেস (Indian National Congress)
B| Bharatiya Janata Party / ভারতীয় জনতা পার্টি (Bharatiya Janata Party)
C| Aam Aadmi Party / আম আদমি পার্টি (Aam Aadmi Party)
D| Shiromani Akali Dal / শিরোমণি অকালী দল (Shiromani Akali Dal)
Shift| 09/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 9.12
Topic| 
SubTopic| 
QuestionID| GACA-000977

QEN| The 15th edition of the India‑Vietnam Defence Policy Dialogue (DPD) was held in which of the following cities in November 2025?
QBN| ভারত-ভিয়েতনামী প্রতিরক্ষা নীতি সংলাপে (DPD) ১৫তম সংস্করণ ২০২৫ সালের নভেম্বরে নিচের কোন শহরে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| New Delhi / নতুন দিল্লি (New Delhi)
B| Pune / পুনে (Pune)
C| Hanoi / হ্যানয় (Hanoi)
D| Ho Chi Minh / হো চি মিন (Ho Chi Minh)
Shift| 04/02/2026 12:45 PM - 2:15 PM
Correct| C
Difficulty| 7.07
Topic| 
SubTopic| 
QuestionID| GACA-000978

QEN| Who among the following was appointed as a Whole-time Member (Life) at the Insurance Regulatory and Development Authority of India (IRDAI) in March 2025?
QBN| ২০২৫ সালের মার্চ মাসে ভারতীয় বীমা নিয়ন্ত্রণ ও উন্নয়ন কর্তৃপক্ষের (IRDAI) পূর্ণকালীন সদস্য (জীবন) হিসেবে কাকে নিযুক্ত করা হয়েছিল?
Common| 
Image| 
A| Swaminathan S Iyer / স্বামীনাথন এস আইয়ার (Swaminathan S Iyer)
B| Dinesh Khara / দিনেশ খারা (Dinesh Khara)
C| Ajay Kumar Bhalla / অজয় কুমার ভল্লা (Ajay Kumar Bhalla)
D| Ramesh B Iyer / রমেশ বি আইয়ার (Ramesh B Iyer)
Shift| 02/12/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 6.20
Topic| 
SubTopic| 
QuestionID| GACA-000979

QEN| Chhannulal Mishra, who passed away in October 2025, was noted for his contributions to which of the following fields?
QBN| ছন্নুলাল মিশ্র, যিনি অক্টোবর ২০২৫-এ মারা যান, নিচের কোন ক্ষেত্রে অবদানের জন্য পরিচিত ছিলেন?
Common| 
Image| 
A| Hindustani classical music / হিন্দুস্থানী শাস্ত্রীয় সঙ্গীত (Hindustani classical music)
B| Folk music traditions / লোকসঙ্গীত ঐতিহ্য (Folk music traditions)
C| Kathak dance / কত্থক নৃত্য (Kathak dance)
D| Sanskrit and Vedic studies / সংস্কৃত ও বৈদিক অধ্যয়ন (Sanskrit and Vedic studies)
Shift| 26/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 6.12
Topic| 
SubTopic| 
QuestionID| GACA-000980

QEN| Which chess player, besides Gukesh, received the Arjuna Award in 2025?
QBN| গুকেশ ছাড়া কোন দাবাড়ু ২০২৫ সালে অর্জুন পুরস্কার পেয়েছেন?
Common| 
Image| 
A| Koneru Humpy / কোনেরু হাম্পি (Koneru Humpy)
B| Harika Dronavalli / হারিকা দ্রোনাভাল্লী (Harika Dronavalli)
C| Pentala Harikrishna / পেন্টালা হরিকৃষ্ণা (Pentala Harikrishna)
D| Vantika Agrawal / ভান্তিকা আগরওয়াল (Vantika Agrawal)
Shift| 27/11/2025 9:00 AM - 10:30 AM
Correct| D
Difficulty| 7.53
Topic| 
SubTopic| 
QuestionID| GACA-000981

QEN| In the Asian Athletics Championships 2025, how many gold medals did India secure?
QBN| এশিয়ান অ্যাথলেটিক্স চ্যাম্পিয়নশিপ ২০২৫-এ ভারত কতটি স্বর্ণপদক পেয়েছে?
Common| 
Image| 
A| 12 / ১২টি
B| 6 / ৬টি
C| 8 / ৮টি
D| 4 / ৪টি
Shift| 05/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 6.19
Topic| 
SubTopic| 
QuestionID| GACA-000982

QEN| In July 2025, which panel has suggested revising the ‘Guidelines for declaration of ESZ, 2011' issued by the Ministry of Environment, Forest and Climate Change (MoEFCC)?
QBN| ২০২৫ সালের জুলাইয়ে, কোন প্যানেল পরিবেশ, বন ও জলবায়ু পরিবর্তন মন্ত্রক (MoEFCC) দ্বারা জারি করা 'ESZ ঘোষণার জন্য নির্দেশিকা, ২০১১' সংশোধনের পরামর্শ দিয়েছে?
Common| 
Image| 
A| The Standing Committee of the National Board for Wildlife / জাতীয় বন্যপ্রাণী বোর্ডের স্ট্যান্ডিং কমিটি (The Standing Committee of the National Board for Wildlife)
B| The Standing Committee of National Tiger Conservation Authority / জাতীয় ব্যাঘ্র সংরক্ষণ কর্তৃপক্ষের স্ট্যান্ডিং কমিটি (The Standing Committee of National Tiger Conservation Authority)
C| The Standing Committee of Ministry of Rural Development / গ্রামীণ উন্নয়ন মন্ত্রকের স্ট্যান্ডিং কমিটি (The Standing Committee of Ministry of Rural Development)
D| The Standing Committee of Central Pollution Control Board / কেন্দ্রীয় দূষণ নিয়ন্ত্রণ বোর্ডের স্ট্যান্ডিং কমিটি (The Standing Committee of Central Pollution Control Board)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct| A
Difficulty| 7.63
Topic| 
SubTopic| 
QuestionID| GACA-000983

QEN| Who was named the Men’s Player of the Year at the All India Football Federation Awards 2025 in May 2025?
QBN| মে ২০২৫-এ অল ইন্ডিয়া ফুটবল ফেডারেশন অ্যাওয়ার্ডস ২০২৫-এ কাকে বর্ষসেরা পুরুষ খেলোয়াড় হিসেবে মনোনীত করা হয়েছিল?
Common| 
Image| 
A| Subhasish Bose / শুভাশিস বোস (Subhasish Bose)
B| Brison Fernandes / ব্রিসন ফার্নান্ডেজ (Brison Fernandes)
C| Vishal Kaith / বিশাল কাইথ (Vishal Kaith)
D| Khalid Jamil / খালিদ জামিল (Khalid Jamil)
Shift| 27/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 9.04
Topic| 
SubTopic| 
QuestionID| GACA-000984

QEN| Rebakanta Mahanta, who was awarded the Padma Shri in January 2025, is renowned for which art form?
QBN| রেবাকান্ত মহন্ত, যিনি জানুয়ারি ২০২৫-এ পদ্মশ্রীতে ভূষিত হয়েছিলেন, তিনি কোন শিল্প রূপের জন্য বিখ্যাত?
Common| 
Image| 
A| Pottery / মৃৎশিল্প (Pottery)
B| Madhubani painting / মধুবনী চিত্রশিল্প (Madhubani painting)
C| Kathakali / কথাকলি (Kathakali)
D| Bamboo mask-making / বাঁশের মুখোশ তৈরি (Bamboo mask-making)
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| D
Difficulty| 6.80
Topic| 
SubTopic| 
QuestionID| GACA-000985

QEN| In January 2025, which two banks signed a Memorandum of Understanding (MoU) with the Assam government to provide zero-premium insurance coverage to employees?
QBN| ২০২৫ সালের জানুয়ারিতে, কর্মচারীদের শূন্য-প্রিমিয়াম বীমা কভারেজ প্রদানের জন্য কোন দুটি ব্যাংক আসাম সরকারের সাথে একটি সমঝোতা স্মারক (MoU) স্বাক্ষর করেছে?
Common| 
Image| 
A| Bank of Baroda and Bank of India / ব্যাংক অফ বরোদা এবং ব্যাংক অফ ইন্ডিয়া (Bank of Baroda and Bank of India)
B| Indian Bank and Central Bank of India / ইন্ডিয়ান ব্যাংক এবং সেন্ট্রাল ব্যাংক অফ ইন্ডিয়া (Indian Bank and Central Bank of India)
C| State Bank of India and Union Bank of India / স্টেট ব্যাংক অফ ইন্ডিয়া এবং ইউনিয়ন ব্যাংক অফ ইন্ডিয়া (State Bank of India and Union Bank of India)
D| Axis Bank and HDFC Bank / অ্যাক্সিস ব্যাংক এবং এইচডিএফসি ব্যাংক (Axis Bank and HDFC Bank)
Shift| 03/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 5.99
Topic| 
SubTopic| 
QuestionID| GACA-000986

QEN| Which political party has won the bye elections to the constituency of Ludhiana west held in June 2025?
QBN| ২০২৫ সালের জুনে অনুষ্ঠিত লুধিয়ানা পশ্চিম কেন্দ্রের উপ-নির্বাচনে কোন রাজনৈতিক দল জয়ী হয়েছে?
Common| 
Image| 
A| Indian National Congress / ইন্ডিয়ান ন্যাশনাল কংগ্রেস (Indian National Congress)
B| Aam Aadmi Party / আম আদমি পার্টি (Aam Aadmi Party)
C| Bhartiya Janata Party / ভারতীয় জনতা পার্টি (Bhartiya Janata Party)
D| Punjab Seva Dal / পাঞ্জাব সেবা দল (Punjab Seva Dal)
Shift| 26/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 9.49
Topic| 
SubTopic| 
QuestionID| GACA-000987

QEN| In March 2025, who inaugurated the two-day National Conference on ‘Environment – 2025’ in New Delhi?
QBN| ২০২৫ সালের মার্চ মাসে, নয়াদিল্লিতে 'পরিবেশ – ২০২৫' বিষয়ক দুই দিনব্যাপী জাতীয় সম্মেলনের উদ্বোধন কে করেন?
Common| 
Image| 
A| Prime Minister of India / ভারতের প্রধানমন্ত্রী (Prime Minister of India)
B| Vice President of India / ভারতের উপ-রাষ্ট্রপতি (Vice President of India)
C| President of India / ভারতের রাষ্ট্রপতি (President of India)
D| Speaker of Lok Sabha / লোকসভার স্পিকার (Speaker of Lok Sabha)
Shift| 27/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 7.30
Topic| 
SubTopic| 
QuestionID| GACA-000988

QEN| Which of the following districts emerged as the best-performing district in the Northeastern Region according to the 2023–24 SDG Index released by NITI Aayog in July 2025?
QBN| নীতি আয়োগ কর্তৃক ২০২৫ সালের জুলাই মাসে প্রকাশিত ২০২৩-২৪ এসডিজি ইনডেক্স অনুসারে কোন জেলা উত্তর-পূর্ব অঞ্চলের সেরা পারফর্মিং জেলা হিসাবে আত্মপ্রকাশ করেছে?
Common| 
Image| 
A| Aizawl (Mizoram) / আইজল (মিজোরাম) [Aizawl (Mizoram)]
B| Hnahthial (Mizoram) / হাঁথিয়াল (মিজোরাম) [Hnahthial (Mizoram)]
C| West Tripura (Tripura) / পশ্চিম ত্রিপুরা (ত্রিপুরা) [West Tripura (Tripura)]
D| East Sikkim (Sikkim) / পূর্ব সিকিম (সিকিম) [East Sikkim (Sikkim)]
Shift| 30/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 5.42
Topic| 
SubTopic| 
QuestionID| GACA-000989

QEN| In March 2025, the Ministry of Environment Forest and Climate Change (MoEFCC) tightened emissions standards for which industry under the Environment (Protection) Second Amendment Rules, 2025?
QBN| ২০২৫ সালের মার্চ মাসে, পরিবেশ বন ও জলবায়ু পরিবর্তন মন্ত্রক পরিবেশ (সুরক্ষা) দ্বিতীয় সংশোধনী বিধিমালা, ২০২৫-এর অধীনে কোন শিল্পের জন্য নির্গমন মান কঠোর করেছে?
Common| 
Image| 
A| Cement / সিমেন্ট (Cement)
B| Dairy / ডেইরি (Dairy)
C| Caustic soda / কস্টিক সোডা (Caustic soda)
D| Textile / টেক্সটাইল (Textile)
Shift| 05/02/2026 9:00 AM - 10:30 AM
Correct| C
Difficulty| 5.22
Topic| 
SubTopic| 
QuestionID| GACA-000990

QEN| Which of the following Indian Army regiments participated in the Mitra Shakti‑2025 exercise?
QBN| মিত্র শক্তি-২০২৫ (Mitra Shakti-2025) মহড়ায় ভারতীয় সেনাবাহিনীর নিচের কোন রেজিমেন্ট অংশগ্রহণ করেছিল?
Common| 
Image| 
A| Garhwal Regiment / গড়ওয়াল রেজিমেন্ট (Garhwal Regiment)
B| Sikh Regiment / শিখ রেজিমেন্ট (Sikh Regiment)
C| Rajput Regiment / রাজপুত রেজিমেন্ট (Rajput Regiment)
D| Gorkha Regiment / গোর্খা রেজিমেন্ট (Gorkha Regiment)
Shift| 04/02/2026 4:30 PM - 6:00 PM
Correct| D
Difficulty| 5.50
Topic| 
SubTopic| 
QuestionID| GACA-000991

QEN| The 11th edition of the Joint Military Exercise ‘MITRA SHAKTI‑2025’ between India and Sri Lanka was held in which of the following cities?
QBN| ভারত ও শ্রীলঙ্কার মধ্যে যৌথ সামরিক মহড়া 'মিত্র শক্তি-২০২৫' (MITRA SHAKTI-2025)-এর ১১তম সংস্করণ নিচের কোন শহরে অনুষ্ঠিত হয়েছিল?
Common| 
Image| 
A| Jodhpur / যোধপুর (Jodhpur)
B| Chennai / চেন্নাই (Chennai)
C| Kochi / কোচি (Kochi)
D| Belagavi / বেলাগাভি (Belagavi)
Shift| 06/02/2026 9:00 AM - 10:30 AM
Correct| D
Difficulty| 7.83
Topic| 
SubTopic| 
QuestionID| GACA-000992

QEN| Which organisation received the 2025 Laureus Sport for Good Award for using football to support social change?
QBN| সামাজিক পরিবর্তন সমর্থনে ফুটবল ব্যবহারের জন্য কোন সংস্থা ২০২৫ সালের লরিয়াস স্পোর্ট ফর গুড অ্যাওয়ার্ড পেয়েছে?
Common| 
Image| 
A| Street League / স্ট্রিট লিগ (Street League)
B| Right to Play / রাইট টু প্লে (Right to Play)
C| Kick4Life / কিক৪লাইফ (Kick4Life)
D| Football for Peace / ফুটবল ফর পিস (Football for Peace)
Shift| 24/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 8.57
Topic| 
SubTopic| 
QuestionID| GACA-000993

QEN| In August 2025, the Department of Posts signed a Memorandum of Understanding with which association in an effort to broaden access to mutual fund products, leveraging the trust and reach of post offices across the country?
QBN| আগস্ট ২০২৫-এ, ডাক বিভাগ দেশজুড়ে পোস্ট অফিসের বিশ্বাস ও অ্যাক্সেসকে কাজে লাগিয়ে মিউচুয়াল ফান্ড পণ্যগুলির নাগাল প্রসারিত করার লক্ষ্যে কোন অ্যাসোসিয়েশনের সাথে একটি সমঝোতা স্মারক স্বাক্ষর করেছে?
Common| 
Image| 
A| Confederation of Indian Industry / কনফেডারেশন অফ ইন্ডিয়ান ইন্ডাস্ট্রি (Confederation of Indian Industry)
B| Insurance Regulatory and Development Authority of India / ইন্স্যুরেন্স রেগুলেটরি অ্যান্ড ডেভেলপমেন্ট অথরিটি অফ ইন্ডিয়া (Insurance Regulatory and Development Authority of India)
C| Association of Mutual Funds in India / অ্যাসোসিয়েশন অফ মিউচুয়াল ফান্ডস ইন ইন্ডিয়া (Association of Mutual Funds in India)
D| All India Association of Mutual Fund Advisors / অল ইন্ডিয়া অ্যাসোসিয়েশন অফ মিউচুয়াল ফান্ড অ্যাডভাইজার্স (All India Association of Mutual Fund Advisors)
Shift| 24/12/2025 4:30 PM - 6:00 PM
Correct| C
Difficulty| 6.91
Topic| 
SubTopic| 
QuestionID| GACA-000994

QEN| How many runs did India’s women’s team score to set a national record in a One-Day International against Ireland in January 2025?
QBN| ২০২৫ সালের জানুয়ারিতে আয়ারল্যান্ডের বিরুদ্ধে একদিনের আন্তর্জাতিক ম্যাচে ভারতীয় মহিলা দল জাতীয় রেকর্ড গড়ে কত রান করেছিল?
Common| 
Image| 
A| 400 / ৪০০
B| 435 / ৪৩৫
C| 425 / ৪২৫
D| 430 / ৪৩০
Shift| 27/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 5.30
Topic| 
SubTopic| 
QuestionID| GACA-000995

QEN| In November 2024, the Indian Space Research Organisation (ISRO) launched India’s inaugural analog space mission at __________ with an aim to simulate interplanetary habitat conditions and helping scientists explore the feasibility of establishing a sustainable base station beyond Earth.
QBN| নভেম্বর ২০২৪-এ, ভারতীয় মহাকাশ গবেষণা সংস্থা (ISRO) আন্তঃগ্রহীয় বাসস্থান পরিস্থিতির অনুকরণ এবং বিজ্ঞানীদের পৃথিবীর বাইরে একটি টেকসই বেস স্টেশন স্থাপনের সম্ভাব্যতা অন্বেষণ করতে সহায়তা করার উদ্দেশ্যে কোথায় ভারতের প্রথম অ্যানালগ স্পেস মিশন চালু করেছে?
Common| 
Image| 
A| Leh / লেহ (Leh)
B| Pokhran / পোখরান (Pokhran)
C| Tawang / তাওয়াং (Tawang)
D| Chandipur / চাঁদিপুর (Chandipur)
Shift| 29/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 6.72
Topic| 
SubTopic| 
QuestionID| GACA-000996

QEN| Which summit in 2025 focused on 'securing our future' for Ukraine?
QBN| ২০২৫ সালের কোন শীর্ষ সম্মেলন ইউক্রেনের জন্য 'আমাদের ভবিষ্যৎ সুরক্ষিত করা'-র ওপর মনোযোগ দিয়েছিল?
Common| 
Image| 
A| London Summit on Ukraine / ইউক্রেন বিষয়ক লন্ডন শীর্ষ সম্মেলন (London Summit on Ukraine)
B| Paris Peace Forum / প্যারিস পিস ফোরাম (Paris Peace Forum)
C| Kiev Peace Conference / কিভ পিস কনফারেন্স (Kiev Peace Conference)
D| Warsaw NATO Ministers’ Summit / ওয়ারশ ন্যাটো মিনিস্টার্স সামিট (Warsaw NATO Ministers' Summit)
Shift| 02/12/2025 4:30 PM - 6:00 PM
Correct| A
Difficulty| 9.48
Topic| 
SubTopic| 
QuestionID| GACA-000997

QEN| The Ministry of Statistics and Programme Implementation (MoSPI) in June 2025 announced its plan to launch the first-ever nationwide household income survey in ________.
QBN| পরিসংখ্যান ও কর্মসূচি বাস্তবায়ন মন্ত্রক (MoSPI) ২০২৫ সালের জুনে কোন সালে প্রথমবারের মতো দেশব্যাপী পারিবারিক আয় জরিপ শুরু করার পরিকল্পনার কথা ঘোষণা করেছে?
Common| 
Image| 
A| 2029 / ২০২৯
B| 2027 / ২০২৭
C| 2028 / ২০২৮
D| 2026 / ২০২৬
Shift| 11/12/2025 12:45 PM - 2:15 PM
Correct| B
Difficulty| 7.39
Topic| 
SubTopic| 
QuestionID| GACA-000998

QEN| Who among the following was appointed as Executive Director of the Reserve Bank of India in March 2025 to look after Department of Statistics and Information Management and Financial Stability Department?
QBN| পরিসংখ্যান ও তথ্য ব্যবস্থাপনা বিভাগ এবং আর্থিক স্থায়িত্ব বিভাগের দেখভালের জন্য ২০২৫ সালের মার্চ মাসে ভারতীয় রিজার্ভ ব্যাংকের নির্বাহী পরিচালক হিসেবে নিচের কাকে নিযুক্ত করা হয়েছিল?
Common| 
Image| 
A| Dr. Swaminathan J / ড. স্বামীনাথন জে (Dr. Swaminathan J)
B| Dr. Ajit Ratnakar Joshi / ড. অজিত রত্নাকর জোশী (Dr. Ajit Ratnakar Joshi)
C| Dr. V Anantha Nageswaran / ড. ভি অনন্ত নাগেশ্বরন (Dr. V Anantha Nageswaran)
D| Dr. Urjit Patel / ড. উরজিৎ প্যাটেল (Dr. Urjit Patel)
Shift| 01/12/2025 9:00 AM - 10:30 AM
Correct| B
Difficulty| 9.37
Topic| 
SubTopic| 
QuestionID| GACA-000999

QEN| As of June 2025, the International Big Cat Alliance (IBCA), based in New Delhi, focuses on protecting how many species?
QBN| ২০২৫ সালের জুন পর্যন্ত, নতুন দিল্লিতে অবস্থিত ইন্টারন্যাশনাল বিগ ক্যাট অ্যালায়েন্স (IBCA) কতটি প্রজাতি রক্ষার ওপর আলোকপাত করে?
Common| 
Image| 
A| Seven / সাতটি
B| Six / ছয়টি
C| Eight / আটটি
D| Five / পাঁচটি
Shift| 17/12/2025 9:00 AM - 10:30 AM
Correct| A
Difficulty| 8.87
Topic| 
SubTopic| 
QuestionID| GACA-001000
